Nivel	ID	Ano	Classe	Area
Estado	AL	2001	Resti	0.11378060986328127
Estado	SE	2001	Resti	0.39007131518554655
Estado	BA	2001	Resti	0.56021282421875
Estado	ES	2001	Resti	0.14196870947265625
Estado	RJ	2001	Resti	1.3045410680108764
Estado	SP	2001	Resti	1.366708234375
Estado	PR	2001	Resti	2.811683263671876
Estado	SC	2001	Resti	0.8386981115387562
Nacional	BR	2001	Alaga	4.136764
Regiao	1	2001	Alaga	0.00726589501953125
Regiao	2	2001	Alaga	0.0610413818359375
Regiao	3	2001	Alaga	0.1254315771484375
Regiao	4	2001	Alaga	0.81421776953125
Regiao	5	2001	Alaga	1.5951570937500001
Regiao	6	2001	Alaga	1.466914609375
Regiao	7	2001	Alaga	0.0667354921875
Estado	AP	2001	Alaga	0.0
Estado	PA	2001	Alaga	0.25046517187499995
Estado	MA	2001	Alaga	1.06578737890625
Estado	CE	2001	Alaga	0.0
Estado	PI	2001	Alaga	0.0
Estado	RN	2001	Alaga	0.10029149462890624
Estado	PB	2001	Alaga	0.22597163134765624
Estado	PE	2001	Alaga	0.127820025390625
Estado	AL	2001	Alaga	0.06108917236328124
Estado	SE	2001	Alaga	0.31949690698242184
Estado	BA	2001	Alaga	2.229250902849264
Estado	ES	2001	Alaga	0.08316251513671875
Estado	RJ	2001	Alaga	0.16121512353515624
Estado	SP	2001	Alaga	0.170892126953125
Estado	PR	2001	Alaga	0.0
Estado	SC	2001	Alaga	0.0
Nacional	BR	2001	Pasta	3.549757
Regiao	1	2001	Pasta	0.00726606396484375
Regiao	2	2001	Pasta	0.0203472900390625
Regiao	3	2001	Pasta	1.9756625615234376
Regiao	4	2001	Pasta	0.271478234375
Regiao	5	2001	Pasta	1.116140015625
Regiao	6	2001	Pasta	0.158862390625
Regiao	7	2001	Pasta	0
Estado	AP	2001	Pasta	0.0285540302734375
Estado	PA	2001	Pasta	2.145924906556372
Estado	MA	2001	Pasta	0.9967857574142156
Estado	CE	2001	Pasta	0.0149227138671875
Estado	PI	2001	Pasta	0.0
Estado	RN	2001	Pasta	0.0
Estado	PB	2001	Pasta	0.0
Estado	PE	2001	Pasta	0.0
Estado	AL	2001	Pasta	0.0
Estado	SE	2001	Pasta	0.0
Estado	BA	2001	Pasta	1.22204972221201
Estado	ES	2001	Pasta	0.0
Estado	RJ	2001	Pasta	0.0
Estado	SP	2001	Pasta	0.0
Estado	PR	2001	Pasta	0.0
Estado	SC	2001	Pasta	0.0
Nacional	BR	2001	LavTe	0.06678534
Regiao	1	2001	LavTe	0
Regiao	2	2001	LavTe	0
Regiao	3	2001	LavTe	0
Regiao	4	2001	LavTe	0
Regiao	5	2001	LavTe	0
Regiao	6	2001	LavTe	0
Regiao	7	2001	LavTe	0.0667853359375
Estado	AP	2001	LavTe	0.0
Estado	PA	2001	LavTe	0.0
Estado	MA	2001	LavTe	0.0
Estado	CE	2001	LavTe	0.0
Estado	PI	2001	LavTe	0.0
Estado	RN	2001	LavTe	0.0
Estado	PB	2001	LavTe	0.0
Estado	PE	2001	LavTe	0.0
Estado	AL	2001	LavTe	0.0
Estado	SE	2001	LavTe	0.0
Estado	BA	2001	LavTe	0.0
Estado	ES	2001	LavTe	0.0
Estado	RJ	2001	LavTe	0.0
Estado	SP	2001	LavTe	0.08305630215226717
Estado	PR	2001	LavTe	0.0
Estado	SC	2001	LavTe	0.0
Nacional	BR	2001	Campe	10.808250
Regiao	1	2001	Campe	2.1064279521484375
Regiao	2	2001	Campe	3.4586082490234373
Regiao	3	2001	Campe	2.2580902783203123
Regiao	4	2001	Campe	2.9851238242187494
Regiao	5	2001	Campe	0
Regiao	6	2001	Campe	0
Regiao	7	2001	Campe	0
Estado	AP	2001	Campe	3.324753960922182
Estado	PA	2001	Campe	3.4798486505208333
Estado	MA	2001	Campe	3.463710320312501
Estado	CE	2001	Campe	0.089551513671875
Estado	PI	2001	Campe	0.0
Estado	RN	2001	Campe	0.042282158203125
Estado	PB	2001	Campe	0.0
Estado	PE	2001	Campe	0.0
Estado	AL	2001	Campe	0.0
Estado	SE	2001	Campe	0.0
Estado	BA	2001	Campe	0.0
Estado	ES	2001	Campe	0.0
Estado	RJ	2001	Campe	0.0
Estado	SP	2001	Campe	0.0
Estado	PR	2001	Campe	0.0
Estado	SC	2001	Campe	0.0
Nacional	BR	2001	OANVe	0.2713474
Regiao	1	2001	OANVe	0
Regiao	2	2001	OANVe	0
Regiao	3	2001	OANVe	0
Regiao	4	2001	OANVe	0.2713473515625
Regiao	5	2001	OANVe	0
Regiao	6	2001	OANVe	0
Regiao	7	2001	OANVe	0
Estado	AP	2001	OANVe	0.0
Estado	PA	2001	OANVe	0.0
Estado	MA	2001	OANVe	0.09993101953125
Estado	CE	2001	OANVe	0.2685563369140625
Estado	PI	2001	OANVe	0.050676662109375
Estado	RN	2001	OANVe	0.0
Estado	PB	2001	OANVe	0.0
Estado	PE	2001	OANVe	0.0
Estado	AL	2001	OANVe	0.0
Estado	SE	2001	OANVe	0.01094173876953125
Estado	BA	2001	OANVe	0.014411963694852939
Estado	ES	2001	OANVe	0.0
Estado	RJ	2001	OANVe	0.004365470703125
Estado	SP	2001	OANVe	0.0
Estado	PR	2001	OANVe	0.0
Estado	SC	2001	OANVe	0.0
Nacional	BR	2001	Savan	3.871004
Regiao	1	2001	Savan	0.0072676044921875
Regiao	2	2001	Savan	0.09156284179687499
Regiao	3	2001	Savan	1.4579419287109372
Regiao	4	2001	Savan	2.1265153046875
